t,ax,ay,az,wx,wy,wz
0.0,-0.0788314546504272,-0.08586787396143768,0.13540738278780498,-0.024448984154061985,0.15203210658302235,0.19967711574865793
0.01,-0.20706802570786603,-0.10593807772601124,0.10335828998359611,-0.024646253409142463,0.1568605537200694,0.2048150489794905
0.019,-0.37151907806199946,-0.10674330353636274,0.08621641136334428,-0.022093913380338354,0.16112989749225934,0.1998623630119633
0.028,-0.5224701069082576,-0.08208824711938087,0.06427765709329313,-0.018670401414417673,0.16347013438900745,0.18633085350135337
0.039,-0.6688426549993327,-0.04200668847324033,0.03570201997284307,-0.013765287399288399,0.16353649931277386,0.16251655990620933
0.047,-0.821571723905268,-0.028456972599163702,0.03275647652111124,-0.011063812440091636,0.15939734779789633,0.1395043275442768
0.057,-0.9453848781947556,-0.042197313748795075,0.04815083701049553,-0.008871618836041272,0.15108086186164812,0.10875167527632973
0.066,-0.9880252981891765,-0.0730158265022473,0.047693675076304225,-0.006381745311630046,0.1407012514501828,0.0821904793902605
0.076,-0.9687589571201005,-0.05452421657117677,0.042623315543356376,-0.0032819185679455257,0.13033458794877065,0.05850475633142185
0.086,-0.9640701547654897,0.0046097919003113205,0.05052630950352736,0.0003319169644242978,0.1203484232559299,0.03530015297052781
0.095,-0.9933721840692878,0.04670537463032459,0.07520187345183663,0.002907092769723346,0.10675127425639909,0.019180412565705234
0.104,-1.0049203185716424,0.09311166864951273,0.10944205684267007,0.003264086818430194,0.08825050246764936,0.012245690084419307
0.114,-0.9914098490133788,0.11203006722623096,0.11656193371957778,0.0029399516990820987,0.0639624671605572,0.01140640234618882
0.124,-0.9731893103238038,0.07253911025029239,0.08708294908598738,0.005783332634014777,0.0393978772809777,0.008541259750660899
0.133,-0.9342109704545783,0.016657848849922954,0.05126471900469899,0.013045288129930773,0.01789292872942006,0.0043130979146188755
0.142,-0.8655429872788828,-0.04730953124542016,0.0022481852831330897,0.023767336693598987,-0.0039963506440518414,0.0063860498408289165
0.152,-0.8305553426486585,-0.09263168279823279,-0.031006874599230065,0.036371024850878335,-0.026559618471266134,0.008712635953726653
0.161,-0.8360593932773401,-0.08047498002241163,-0.02607828759828431,0.04899358568208951,-0.046597197408181516,0.008221712729804079
0.171,-0.8199556971850752,-0.04118345120285748,-0.013791456822844269,0.060370010430373384,-0.0659647457628412,0.0032064360027936356
0.181,-0.7906791196980434,0.004190440383794833,-0.008454531292740146,0.06924444958124615,-0.08277655366822642,-0.005771234297778899
0.19,-0.7466116639675626,0.054603378619123594,-0.02353250015835022,0.07442292685815169,-0.09465301046633881,-0.012774181516924298
0.199,-0.697961633373149,0.09167258095297104,-0.05016049865913133,0.076927465677709,-0.10425236530818809,-0.01708721861239737
0.209,-0.6810192017369264,0.09372303581493802,-0.06068478204409261,0.07781496949118635,-0.11228186579410755,-0.02117526473377265
0.218,-0.6793877463592553,0.07185720704691537,-0.06150195311381228,0.07735108268900448,-0.1192017564485614,-0.023485579936114602
0.228,-0.6603333818649909,0.04100277933391446,-0.08698088215708542,0.0771394469804103,-0.12478406203342593,-0.02377745200871365
0.237,-0.6424514133560726,0.0361446975867931,-0.11104046341080613,0.07749377471397749,-0.12793255330852923,-0.02522861006739495
0.246,-0.6670210949071818,0.061267489782800534,-0.1191180915229129,0.07790573253205695,-0.13197183567825257,-0.029079390537431023
0.256,-0.7186657082841392,0.09846307172795692,-0.12419423099831392,0.07649822290986301,-0.13698218083803781,-0.035627488598046896
0.266,-0.7332642958949827,0.15251573242088196,-0.13136275966326816,0.0717761010374606,-0.1409221573189149,-0.0427477022677887
0.275,-0.7150757558430495,0.1954499236515386,-0.1505770138982942,0.06571382943951197,-0.1430707416198193,-0.047236384911381636
0.284,-0.6877177158800177,0.21253431811452786,-0.18050858699475703,0.05897509355389034,-0.14341706154439746,-0.04943091569384715
0.294,-0.6714048123693724,0.2166312886725468,-0.20137732651861248,0.050814900017635105,-0.14131533351689385,-0.05030081891528005
0.303,-0.654042487043173,0.22007553209057704,-0.21454545133142974,0.044800774435850226,-0.13859231447390458,-0.048909382092603995
0.313,-0.640843351868097,0.23239294666479762,-0.22739339101996847,0.03891537959525373,-0.13373055580822818,-0.04699698720567735
0.323,-0.6572870071946326,0.25612982324018163,-0.21931020508920737,0.03428562350982452,-0.12821417438225552,-0.0473910920998697
0.332,-0.6602678341954754,0.2693430737921224,-0.20873253304255376,0.030770873910539866,-0.12291627900564014,-0.04900750515074491
0.341,-0.6529670671105835,0.26188800340529217,-0.19687845773754534,0.027789742848076077,-0.1168347334601351,-0.050891778696097574
0.351,-0.6257915178051277,0.2366244132934867,-0.18176170194279387,0.026966421431754053,-0.10752011582631471,-0.051588523521909804
0.36,-0.5656385804476498,0.22436508083252288,-0.17854647634078724,0.027618367000440652,-0.09658212560909434,-0.050009675597834154
0.37,-0.5436777980321854,0.2446890169442011,-0.1588127823600024,0.028510343291165537,-0.08188017559215784,-0.04657195748897224
0.38,-0.5872187286666124,0.29070083963735655,-0.10540283801527804,0.027598795381300785,-0.06751164849318131,-0.04138466212952336
0.389,-0.655611836556162,0.3288029814961257,-0.043546824887085875,0.02551687599223711,-0.05694279388524967,-0.038721551501695296
0.398,-0.7053624158511304,0.35418111171369054,0.019882044989228343,0.02077877411848054,-0.049198351577185905,-0.03840520791281209
0.408,-0.7302312755099862,0.34098342414710137,0.07940707528067749,0.015601243938989817,-0.043640211058524364,-0.04093307754853517
0.417,-0.735121356263855,0.29581795916171416,0.12443477820650642,0.011035027828897023,-0.04010074540935964,-0.04768961294689525
0.426,-0.7273283453177368,0.24590498242230893,0.1587613438792023,0.007427040372589016,-0.03853868159495974,-0.057205119158331035
0.437,-0.7158186107805224,0.1903966966730959,0.1824820150312802,0.0036959484740066583,-0.03828948740977536,-0.0711910966820376
0.445,-0.6986709545764097,0.13983345050723378,0.19497342257493772,0.001485778173816779,-0.0388632174902824,-0.08133178760291031
0.455,-0.6715894716561048,0.09497262996715505,0.20232801180912616,-0.0008750143627737528,-0.03909741231438404,-0.08962363101743995
0.465,-0.6142227029806151,0.058624956017965954,0.20931731580238336,-0.0030059711025659987,-0.03894570396921858,-0.09207552791096023
0.474,-0.553353209109635,0.027213577446179284,0.22051532171295657,-0.004425393596958918,-0.037938941260383156,-0.08919727895635157
0.483,-0.5090066259968471,-0.007258209524648016,0.22857663685961402,-0.005853681115599757,-0.036294933953843325,-0.08513206726919358
0.493,-0.47398385970136075,-0.03457279309063412,0.22646288686351204,-0.007025230158705259,-0.033485606542422414,-0.07978475400542354
0.502,-0.45167753969120733,-0.06088155140804265,0.22350163992126681,-0.007079023300253251,-0.030500132130883238,-0.07540891818926529
0.512,-0.4301835434119482,-0.10592666527878022,0.22828201017447386,-0.00711696177214219,-0.02710524833678273,-0.07071932962894194
0.521,-0.3931518777355882,-0.15742351831782544,0.22249201638997437,-0.006036955316692258,-0.02472685604817363,-0.06665568291814473
0.531,-0.353869283469995,-0.20708596087770917,0.20319125505469104,-0.0026241683230439454,-0.022480963158446103,-0.06189702675960936
0.54,-0.33093879823064193,-0.24686694288560174,0.18872534450662262,0.003122636948552481,-0.019861169458620986,-0.05807246470388875
0.55,-0.30852268828480356,-0.28348160078033363,0.17223180368637947,0.011658241329705844,-0.016577931742275207,-0.053724089226128764
0.559,-0.27491224070775166,-0.31746015928203947,0.14879825107698508,0.0208963498370171,-0.013473076507670654,-0.04942057232871413
0.568,-0.24178527522557539,-0.346686040374451,0.11788759295036645,0.031111903059159916,-0.011497385697875223,-0.04603251752583498
0.578,-0.2110020388487923,-0.36010152392369194,0.08832453547903643,0.04187488232856818,-0.010400305431951036,-0.04403115652340849
0.588,-0.16814714281042942,-0.36794536055591875,0.05743103033743805,0.05236939987547083,-0.00957642765124871,-0.04131168793105254
0.597,-0.13053181155974108,-0.3665089302369121,0.031227124225436838,0.06291278188351795,-0.007830531148404617,-0.03765404932049915
0.606,-0.11191344244180387,-0.35081691930818415,0.011084128218716852,0.07298979660577315,-0.006745611978052474,-0.03356879862194043
0.616,-0.09669155040693066,-0.31140360575833176,-0.022774248467877317,0.0821466740559258,-0.005611668625798062,-0.02827250351990566
0.625,-0.09687759019053183,-0.24716005772901503,-0.05589161743213008,0.08921321825388151,-0.004519587156867033,-0.02303241024127175
0.635,-0.11704290522815285,-0.17297159576001947,-0.07743818412246561,0.09446793374901927,-0.0050381167731077215,-0.01810094389031931
0.644,-0.14444448097585147,-0.10124264237574646,-0.09703428823718158,0.09733956032607191,-0.008182600517390184,-0.015980375712197882
0.654,-0.17764793293194486,-0.023383172419691595,-0.11971210668875304,0.09778136644219894,-0.013938823014460144,-0.016053497657827518
0.663,-0.19404531022303256,0.056635943124016666,-0.13333396271095257,0.09617385134905036,-0.01985479989456696,-0.016194162284171178
0.673,-0.2007774659868404,0.1489890692073484,-0.14739622801768076,0.09339172981793827,-0.027637075595044053,-0.014636049512029684
0.682,-0.21445841299126636,0.23734111978621975,-0.16158169205591025,0.08868849134035986,-0.03573358746277353,-0.012174029116875776
0.692,-0.23327175730216404,0.3273685738558477,-0.17117056440355638,0.08255999243662743,-0.044422320820625666,-0.009938210669436185
0.701,-0.251491609484492,0.40742611772304016,-0.16575418220551463,0.07563372600006864,-0.05364777677500159,-0.010300029881088933
0.711,-0.2693556975522706,0.4892271599625885,-0.14602547422347137,0.0664676035903109,-0.06600414799103167,-0.01378191666125284
0.72,-0.29717612361884926,0.5538982691147812,-0.12229141331437178,0.05659266610908237,-0.07971534136799649,-0.021054304406989653
0.73,-0.31472530438893564,0.5985800178901319,-0.09631224620725368,0.045119179238887905,-0.09560160307904256,-0.03420933631158924
0.739,-0.2975101136605913,0.6003804081638748,-0.09059198845225194,0.03522524858373006,-0.11071242993151711,-0.04818297529035142
0.749,-0.24051903398934776,0.5649642802400735,-0.12118235383047457,0.02681135221467488,-0.12545187857349635,-0.06417460735011159
0.759,-0.16212232808234037,0.528475669782563,-0.1686889439912433,0.02050084671588529,-0.1366701915262257,-0.078530226836067
0.767,-0.10072642152227211,0.5042581476700629,-0.1914776351990325,0.017187290553697616,-0.1437822228859179,-0.08775777102424906
0.777,-0.05852891411125191,0.4966605497242371,-0.2029477311389778,0.014642829023160928,-0.14979568236835428,-0.09613721194385536
0.786,-0.017986591893620292,0.48819124652267326,-0.21529851794822868,0.014485907560593795,-0.1528989236098671,-0.09944478177085035
0.796,0.02052745297436416,0.48034292090377445,-0.2270318059873796,0.015677118421831938,-0.1515350591062429,-0.0994251301617349
0.805,0.03973111336565105,0.48335126534575956,-0.22656717437711785,0.016034927236703057,-0.14696218299792663,-0.09704156894111453
0.815,0.045058269287604126,0.4966482583499729,-0.22007271685390328,0.016101453294418033,-0.13995515255388657,-0.09276999770763847
0.824,0.03377984914021746,0.504911528799142,-0.21380021535898244,0.016307569535558914,-0.13237989339347975,-0.08700910995289755
0.834,0.01724763159999844,0.49765480241099724,-0.1933970993842056,0.016760098884726786,-0.12227709398926163,-0.0797047388028778
0.844,-0.0031653920376104455,0.49120843103959233,-0.15673073138528604,0.016768856912362552,-0.11274055818068987,-0.07400308635821069
0.853,-0.034304630516649115,0.48490408063809143,-0.12214963052307574,0.017888320346888503,-0.10379560579273,-0.0730487133340294
0.862,-0.05553787195947338,0.48271708488235954,-0.08775790878347038,0.018920725004609416,-0.09436221888408394,-0.07558999482998362
0.872,-0.06668080853324557,0.4933648386565964,-0.052412725671449445,0.019970752422321898,-0.0838534540528574,-0.08176067621193274
0.881,-0.07498404907802289,0.5096845883209267,-0.035398267820065527,0.020844221112232282,-0.07266033436835373,-0.09118156167300068
0.891,-0.07257385516328224,0.5267084964054395,-0.03370866171497505,0.02129980502744711,-0.06021193007979621,-0.10301007953316754
