,,WN,RW,QN,BI
IMU1,GX,4.723E-05,4.737E-07,0,1.378E-05
,GY,4.475E-05,0,0,7.192E-06
,GZ,4.667E-05,0,0,1.617E-05
,AX,0.0006028,1.826E-05,1.85E-05,0.0003984
,AY,0.00108,1.36E-05,2.825E-05,0.0004282
,AZ,0.0007627,0,0,0.00099
,,,,,
IMU2,GX,5.113E-05,1.991E-06,0,1.226E-05
,GY,6.072E-05,0,0,1.514E-05
,GZ,2.91E-05,2.04E-07,0,3.827E-06
,AX,0.000571,3.18E-05,0,0.0003531
,AY,0.000695,5.04E-05,3.05E-05,0.000335
,AZ,0.000503,0,0,0.000967
,,,,,
IMU3,GX,5.219E-05,2.214E-06,0,1.345E-05
,GY,5.596E-05,1.178E-06,0,6.839E-06
,GZ,4.077E-05,4.338E-06,0,0
,AX,0.0005916,4.082E-05,0,0.00035
,AY,0.000621,6.211E-05,6.036E-06,0.0003123
,AZ,0.000481,0,0,0.000776
,,,,,
IMU4,GX,5.416E-05,2.126E-06,0,1.46E-05
,GY,5.48E-05,6.922E-07,0,4.005E-06
,GZ,5.055E-05,0,0,1.085E-05
,AX,0.0005931,3.301E-05,0,0.0003752
,AY,0.0005914,2.9E-05,0,0.0003888
,AZ,0.0004899,0,0,0.0007942
,,,,,
IMU5,GX,5.689E-05,9.375E-07,0,9.057E-06
,GY,4.984E-05,5.692E-07,0,5.726E-06
,GZ,5.095E-05,1.757E-06,0,1.366E-05
,AX,0.0005756,0,0,0.000389
,AY,0.0005372,0,0,0.000452
,AZ,0.0005763,0,0,0.0004725
